state,head_of_state_salary_usd,post,source1,source2,source3,head_of_government_salary_usd,post_hg,source1_hg,source2_hg,source3_hg,head_of_state_salary_divided_by_gdp_1_per_million,head_of_government_salary_divided_by_gdp_1_per_million,head_of_state_salary_divided_by_gdp_per_capita,head_of_government_salary_divided_by_gdp_per_capita,iso3
Afghanistan,13400, President, 3,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,22.7891,NA,AFG
Albania,19665, President, 4,NA,NA,20400, Prime Minister, 5,NA,NA,0.6415,1.5691,4.2909,4.4512,ALB
Algeria,168000, President, 6, 7,NA,61100, Prime Minister, 8,NA,NA,0.6415,NA,39.1426,NA,DZA
Andorra,NA,NA,NA,NA,NA,82800, Prime Minister, 9,NA,NA,0.6415,NA,NA,NA,AND
Angola,74480, President, 10,NA,NA,61330, Vice President, 10,NA,NA,0.6415,NA,13.6116,NA,AGO
Antigua and Barbuda,40225, Governor General, 11,NA,NA,55504, Prime Minister, 12,NA,NA,0.6415,26.0586,2.4084,2.3949,ATG
Argentina,65320, President, 13,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,4.5151,NA,ARG
Armenia,32400, President, 14,NA,NA,29570, Prime Minister, 15,NA,NA,0.6415,2.6792,8.3916,7.6586,ARM
Australia,346777, Governor General, 16,NA,NA,384767, Prime Minister, 17,NA,NA,0.6415,0.3678,7.6292,9.1073,AUS
Austria,410000, President, 18,NA,NA,328600, Chancellor, 18,NA,NA,0.6415,0.7883,8.6699,6.9486,AUT
Azerbaijan,225000, President, 19,NA,NA,17000, Prime Minister, 20,NA,NA,0.6415,NA,54.3347,NA,AZE
Bahamas,37000, Governor General, 21,NA,NA,86000, Prime Minister, 22,NA,NA,0.6415,9.4226,1.1838,2.7516,BHS
Bahrain,22400000, King privy purse, 23,NA,NA,239400, Prime Minister, 24,NA,NA,0.6415,6.8606,NA,9.963,BHR
Bangladesh,17100, President, 25,NA,NA,16400, Prime Minister, 25,NA,NA,0.6415,0.0627,10.6742,10.2372,BGD
Barbados,110499, Governor General, 26,NA,NA,101588, Prime Minister, 27,NA,NA,0.6415,21.072,NA,5.6883,BRB
Belarus,33600, President, 28,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,5.8333,NA,BLR
Belgium,14454440, King royal grant, 18,NA,NA,262964, Prime Minister, 18,NA,NA,0.6415,0.5315,331.6608,6.0338,BEL
Belize,26241, Governor General, 29,NA,NA,45500, Prime Minister, 30,NA,NA,0.6415,25.0137,5.46,9.4673,BLZ
Benin,29810, President, 7,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,35.9157,NA,BEN
Bhutan,NA,NA,NA,NA,NA,37365, Prime Minister, 31,NA,NA,0.6415,16.0987,NA,12.8712,BTN
Bolivia,39924, President, 32,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,11.9069,NA,BOL
Bosnia and Herzegovina,42650, Presidency, 4,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,8.2832,NA,BIH
Botswana,65760, President, 7,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,8.3484,NA,BWA
Brazil,102524, President 2019, 33, 34,NA,NA,NA,NA,NA,NA,0.6415,NA,12.1273,NA,BRA
Brunei,1986768000, Sultan, 35,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,NA,NA,BRN
Bulgaria,79000, President, 36,NA,NA,50000, Prime Minister, 36,NA,NA,0.6415,0.8781,9.7966,6.2004,BGR
Burkina Faso,33810, President, 7, 37,NA,17477, Prime Minister, 37,NA,NA,0.6415,NA,50.9187,NA,BFA
Burundi,47300, President, 7,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,151.6026,NA,BDI
Cambodia,NA,NA,NA,NA,NA,30000, Prime Minister, 38,NA,NA,0.6415,1.3482,NA,21.5827,KHM
Cameroon,620976, President, 7,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,443.2377,NA,CMR
Canada,290000, Governor General, 39,NA,NA,260200, Prime Minister, 7,NA,NA,0.6415,0.1575,6.4334,5.7723,CAN
Cape Verde,20380, President, 7,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,6.294,NA,CPV
Central African Republic,42524, President, 40,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,109.8811,NA,CAF
Chad,16640, President, 41,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,NA,NA,TCD
Chile,196000, President, 18,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,11.9443,NA,CHL
China,22000, Party General Secretary and President, 42, 43,NA,13269, Premier, 44,NA,NA,0.6415,NA,2.5454,NA,CHN
Colombia,134676, President, 32,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,21.4692,NA,COL
Comoros,117060, President, 7,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,148.5533,NA,COM
Costa Rica,113520, President, 32,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,9.715,NA,CRI
Croatia,44375, President, 4, 45,NA,39422, Prime Minister, 45,NA,NA,0.6415,NA,3.4404,NA,HRV
Cuba,360, President, 46,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,NA,NA,CUB
Cyprus,90025, President, 47,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,3.6045,NA,CYP
Czech Republic,14951664, President, 48,NA,NA,12070248, Prime Minister, 49,NA,NA,0.6415,0.0434,0.5695,0.4587,CZE
Denmark,11350744, Queen royal grant, 50, 9,NA,249774, Prime Minister, 18,NA,NA,0.6415,0.7698,201.0974,4.4252,DNK
Djibouti,10000, President, 51,NA,NA,NA,NA,NA,NA,NA,0.6415,NA,5.0277,NA,DJI
